Date,A,B,C
,-10.86808,-8.723014,32.341203
,-10.779546,-8.499916,32.368929
,-10.685764,-8.278384,32.383739
,-10.587013,-8.059061,32.385845
,-10.483587,-7.842559,32.375503
,-10.375792,-7.629453,32.353011
,-10.263943,-7.420285,32.318704
,-10.148363,-7.215553,32.272948
,-10.029382,-7.015718,32.216138
,-9.907333,-6.821199,32.148696
,-9.782554,-6.63237,32.071059
,-9.65538,-6.449567,31.983687
,-9.526149,-6.27308,31.887046
,-9.395193,-6.103161,31.781616
,-9.262843,-5.94002,31.667879
,-9.129421,-5.783828,31.546321
,-8.995246,-5.63472,31.417426
,-8.860627,-5.492794,31.281674
,-8.725864,-5.358117,31.139542
,-8.591249,-5.230722,30.991494
,-8.45706,-5.110613,30.837987
,-8.323567,-4.99777,30.679466
,-8.191027,-4.892147,30.516363
,-8.059683,-4.793673,30.349095
,-7.929769,-4.702263,30.178064
,-7.801502,-4.61781,30.003656
,-7.675089,-4.540193,29.826243
,-7.550722,-4.46928,29.646178
,-7.428582,-4.404924,29.463799
,-7.308835,-4.346972,29.279426
,-7.191635,-4.295262,29.093366
,-7.077124,-4.249629,28.905907
,-6.965431,-4.209901,28.717321
,-6.856674,-4.175905,28.527869
,-6.75096,-4.147468,28.337792
,-6.648383,-4.124414,28.147322
,-6.549029,-4.106571,27.956675
,-6.452971,-4.093769,27.766056
,-6.360275,-4.085839,27.575655
,-6.270997,-4.082618,27.385654
,-6.185184,-4.083946,27.196223
,-6.102876,-4.089669,27.007524
,-6.024105,-4.099639,26.819706
,-5.948895,-4.113712,26.632914
,-5.877266,-4.131752,26.447283
,-5.809229,-4.153629,26.262941
,-5.744793,-4.17922,26.080008
,-5.683958,-4.208409,25.898602
,-5.626724,-4.241084,25.718832
,-5.573082,-4.277145,25.540804
,-5.523024,-4.316494,25.364619
,-5.476536,-4.359043,25.190374
,-5.433601,-4.404709,25.018165
,-5.394201,-4.453416,24.848083
,-5.358316,-4.505096,24.680216
,-5.325922,-4.559685,24.514651
,-5.296996,-4.617124,24.351475
,-5.271513,-4.677365,24.190771
,-5.249446,-4.740359,24.032623
,-5.230769,-4.806067,23.877114
,-5.215454,-4.874453,23.724326
,-5.203474,-4.945486,23.574342
,-5.194802,-5.01914,23.427245
,-5.189409,-5.095393,23.283118
,-5.18727,-5.174225,23.142046
,-5.188357,-5.255623,23.004115
,-5.192644,-5.339574,22.869411
,-5.200105,-5.426068,22.738023
,-5.210716,-5.515101,22.610041
,-5.224453,-5.606667,22.485557
,-5.241292,-5.700764,22.364666
,-5.261211,-5.79739,22.247464
,-5.284188,-5.896546,22.134051
,-5.310202,-5.998233,22.024528
,-5.339235,-6.10245,21.919001
,-5.371266,-6.209198,21.817577
,-5.406277,-6.318479,21.720367
,-5.444251,-6.43029,21.627486
,-5.48517,-6.544629,21.539049
,-5.529019,-6.661492,21.45518
,-5.575781,-6.780873,21.376
,-5.62544,-6.902762,21.30164
,-5.677982,-7.027145,21.23223
,-5.73339,-7.154007,21.167905
,-5.791649,-7.283325,21.108804
,-5.852742,-7.415074,21.055069
,-5.916655,-7.549221,21.006846
,-5.983368,-7.685729,20.964284
,-6.052864,-7.824552,20.927535
,-6.125125,-7.965639,20.896756
,-6.200128,-8.108929,20.872104
,-6.277851,-8.254352,20.853741
,-6.358271,-8.40183,20.84183
,-6.441359,-8.551274,20.836536
,-6.527088,-8.702584,20.838027
,-6.615423,-8.855649,20.84647
,-6.706329,-9.010346,20.862034
,-6.799767,-9.166537,20.884888
,-6.895693,-9.324073,20.915199
,-6.99406,-9.482788,20.953133
,-7.094813,-9.642501,20.998855
,-7.197895,-9.803018,21.052524
,-7.303242,-9.964125,21.114297
,-7.410784,-10.125594,21.184325
,-7.520444,-10.287176,21.26275
,-7.632138,-10.448606,21.349709
,-7.745774,-10.609601,21.445328
,-7.861255,-10.769858,21.549722
,-7.978472,-10.929054,21.662993
,-8.097309,-11.086849,21.785229
,-8.21764,-11.242882,21.916502
,-8.33933,-11.396774,22.056866
,-8.462234,-11.548127,22.206353
,-8.586197,-11.696525,22.364975
,-8.711053,-11.841534,22.532719
,-8.836625,-11.982703,22.709546
,-8.962725,-12.119568,22.895387
,-9.089155,-12.251649,23.090144
,-9.215703,-12.378453,23.293685
,-9.34215,-12.499478,23.505843
,-9.468261,-12.614213,23.726415
,-9.593793,-12.722143,23.955159
,-9.718492,-12.822747,24.191793
,-9.842093,-12.915507,24.435991
,-9.964321,-12.999906,24.687386
,-10.084892,-13.075435,24.945565
,-10.203514,-13.141596,25.210073
,-10.319885,-13.197905,25.480406
,-10.433698,-13.243898,25.756017
,-10.54464,-13.279132,26.036313
,-10.652394,-13.303195,26.320659
,-10.756639,-13.315705,26.608374
,-10.857053,-13.316317,26.898741
,-10.953313,-13.30473,27.191
,-11.045098,-13.280684,27.48436
,-11.13209,-13.243974,27.777997
,-11.213979,-13.194444,28.071057
,-11.290459,-13.131999,28.362667
,-11.361235,-13.056601,28.651933
,-11.426023,-12.968279,28.937951
,-11.484552,-12.867123,29.219806
,-11.536569,-12.753291,29.496588
,-11.581834,-12.627011,29.767389
,-11.62013,-12.488574,30.031313
,-11.651261,-12.338343,30.287488
,-11.675054,-12.176741,30.535061
,-11.691359,-12.004259,30.773217
,-11.700055,-11.821448,31.001175
,-11.701046,-11.628913,31.218203
,-11.694266,-11.427315,31.423616
,-11.679678,-11.217362,31.616785
,-11.657276,-10.999804,31.797141
,-11.627083,-10.775428,31.96418
,-11.589153,-10.545052,32.117463
,-11.543571,-10.309515,32.256621
,-11.490452,-10.069676,32.381356
,-11.429939,-9.826401,32.491443
,-11.362205,-9.580561,32.586728
,-11.28745,-9.333022,32.667129
,-11.205899,-9.084641,32.732634
,-11.117803,-8.836255,32.783299
,-11.023433,-8.588681,32.819243
,-10.923085,-8.342707,32.840651
,-10.817069,-8.099088,32.847763
,-10.705715,-7.858541,32.840873
,-10.589366,-7.621742,32.820325
,-10.468378,-7.389323,32.786506
,-10.343116,-7.161867,32.739845
,-10.213952,-6.93991,32.680802
,-10.081267,-6.723937,32.609868
,-9.94544,-6.514383,32.527556
,-9.806855,-6.311631,32.434399
,-9.665893,-6.116013,32.330944
,-9.522933,-5.927812,32.217749
,-9.378349,-5.747264,32.095374
,-9.232509,-5.574556,31.964383
,-9.085773,-5.409831,31.825337
,-8.93849,-5.253191,31.678789
,-8.791001,-5.104696,31.525288
,-8.643634,-4.964371,31.365367
,-8.496704,-4.832206,31.199548
,-8.350514,-4.708159,31.028337
,-8.205351,-4.592159,30.852225
,-8.06149,-4.484113,30.671681
,-7.919188,-4.3839,30.487159
,-7.778689,-4.291384,30.29909
,-7.640221,-4.206408,30.107887
