Date,TA,ST1,H2O,SM1,FN2O
,14.51,17.2,14.3604,21,11.1095
,15.22,17.2,15.4574,21.4,11.9038
,16.34,17.2,16.7486,21.8,11.2381
,16.73,17.15,17.71,21,11.6337
,17.58,17.1,18.6546,20.2,13.2881
,18.05,17.2,19.8013,20.65,17.0034
,18.85,17.3,19.865,21.1,15.8391
,20.37,17.35,21.0816,21.25,13.7175
,20.61,17.4,24.4512,21.4,13.7381
,21.94,17.5,25.3614,21.3,14.2193
,23.37,17.6,23.3919,21.2,14.2689
,23.93,17.75,20.6754,20.7,14.4748
,23.76,17.9,19.7946,20.2,14.2981
,24.72,18,20.0058,20.15,13.6427
,26.78,18.1,21.9828,20.1,16.6791
,25.99,18.25,21.4237,20.3,16.0382
,26.75,18.4,21.2243,20.5,12.3669
,24.34,18.5,18.8493,20.9,13.4992
,27.46,18.6,20.2553,21.3,15.6707
,27.42,18.75,20.7892,21.45,16.3778
,27.45,18.9,20.1047,21.6,15.1304
,26.71,19,18.8897,21.5,14.8545
,27.07,19.1,18.7235,21.4,14.8263
,27.08,19.15,18.533,20.85,14.5032
,26.95,19.2,18.0324,20.3,13.622
,26.34,19.25,17.2081,20.75,12.7441
,25.6,19.3,16.315,21.2,12.6636
,25.17,19.3,16.5149,21.2,13.4934
,23.91,19.3,15.2998,21.2,12.4842
,21.81,19.3,15.5173,20.85,13.3328
,19.69,19.3,15.1063,20.5,13.5461
,17.49,19.25,15.0367,20.35,15.0209
,14.67,19.2,15.17,20.2,15.2274
,14.11,19.05,14.9014,19.9,14.6108
,14.82,18.9,16.0566,19.6,15.0012
,15.36,18.75,16.3348,19.2,13.277
,15.75,18.6,17.0481,18.8,12.3561
,15.17,18.5,16.4748,18.8,13.645
,16.32,18.4,17.6529,18.8,13.5842
,14.47,18.35,15.3713,18.8,14.7772
,15.46,18.3,16.5595,18.8,13.0635
,15.8,18.2,17.403,18.8,12.5096
,15.26,18.1,16.8767,18.8,10.5617
,14.57,18.1,16.2307,18.85,12.6413
,14.26,18.1,15.5459,18.9,13.6113
,13.6,18,15.2496,18.9,11.2567
,12.48,17.9,13.6096,18.9,10.9081
,11.92,17.8,12.7787,19.25,11.2425
,12.32,17.7,12.8348,19.6,9.73097
,14.9,17.6,14.4391,19.8,9.52279
,16.08,17.5,16.8141,20,9.15653
,17.36,17.45,18.0982,20.05,7.79608
,18.63,17.4,18.7926,20.1,7.5007
,19.1,17.5,19.5839,19.95,7.1454
,19.58,17.6,20.2295,19.8,7.62179
,20.6,17.75,20.3624,19.8,8.68839
,20.56,17.9,20.3369,19.8,7.88982
,21.65,18.1,19.7886,19.8,7.85824
,25.27,18.3,20.9432,19.8,8.46502
,27.64,18.5,23.0019,19.7,8.959
,27.89,18.7,26.2864,19.6,10.5769
,29.46,18.85,26.6992,19.5,9.83324
,29.81,19,26.803,19.4,10.855
,31.43,19.15,28.2994,19.4,11.2606
,29.87,19.3,26.6943,19.4,12.0076
,29.21,19.4,25.2485,19.2,11.4426
,29.83,19.5,23.9299,19,11.8603
,27.22,19.55,20.2412,18.8,12.4782
,27.73,19.6,18.0624,18.6,11.0704
,28.49,19.65,18.0469,18.45,10.8797
,27.93,19.7,17.5052,18.3,11.4142
,31.5,19.7,18.0707,18.2,12.0782
,27.48,19.7,16.9791,18.1,11.2565
,29.11,19.75,17.2594,18.25,10.8412
,26.59,19.8,17.1819,18.4,11.8061
,25.97,19.75,17.3859,19.35,11.4405
,24.86,19.7,17.011,20.3,11.2867
,23.33,19.65,17.0169,20.25,10.7854
,21.57,19.6,16.7687,20.2,10.0101
,20.79,19.55,16.5393,19.9,10.4775
,19.49,19.5,16.3383,19.6,10.024
,17.37,19.4,16.112,20.2,11.4064
,17,19.3,16.0425,20.8,10.4381
,18.5,19.15,15.9384,20.5,9.28263
,18,19,15.8825,20.2,8.86337
,17.01,18.95,15.933,20.1,10.9465
,16.33,18.9,15.8156,20,10.1175
,15.83,18.8,15.6372,20.05,10.1021
,15.37,18.7,15.9117,20.1,9.43372
,15.43,18.6,16.0447,19.8,12.9011
,14.26,18.5,15.5703,19.5,12.0773
,14.9,18.45,16.1766,19.85,9.21348
,16.21,18.4,15.9045,20.2,7.64508
,15.96,18.35,15.8274,20.3,7.73051
,15.93,18.3,16.1821,20.4,8.13575
,16.45,18.3,16.2267,20,7.2988
,17.18,18.3,16.4851,19.6,7.11435
,17.59,18.25,17.0077,19.75,6.88663
,18.07,18.2,17.3326,19.9,7.5121
,18.43,18.25,18.2114,21.55,7.5397
,17.99,18.3,20.0568,23.2,4.07872
,17.87,18.3,20.0931,22.45,4.96321
,19.75,18.3,21.8009,21.7,4.94577
,20.72,18.4,22.5202,21.6,6.90801
,21.48,18.5,23.1595,21.5,7.33545
,21.57,18.6,23.808,21.65,7.99302
,22.14,18.7,24.0012,21.8,8.43577
,25.27,18.8,26.5511,22.1,8.39847
,24.89,18.9,27.2891,22.4,9.16325
,24.08,19,25.8271,22.35,9.48787
,21.95,19.1,24.7907,22.3,8.4291
,24.07,19.15,26.7664,21.95,8.49225
,24.52,19.2,27.587,21.6,8.56059
,27.72,19.35,28.3223,21.65,9.39825
,27.58,19.5,31.482,21.7,10.749
,28.96,19.6,30.5055,21.25,12.0579
,29.31,19.7,31.4381,20.8,12.8107
,30.3,19.85,31.8831,20.95,12.3508
,29.46,20,29.1158,21.1,12.8951
,28.64,20.05,28.853,21.2,14.8303
,29.27,20.1,27.934,21.3,13.926
,28.4,20.2,28.1248,21.2,14.8793
,28.32,20.3,27.9816,21.1,15.2351
,26.21,20.3,28.1418,21.15,12.6718
,23.56,20.3,27.9578,21.2,11.91
,23.23,20.3,30.0776,21.25,11.9526
,22.1,20.3,24.1435,21.3,11.9406
,21.19,20.25,22.7116,21.05,12.1226
,20.28,20.2,22.3373,20.8,12.7049
,21.45,20.15,22.0697,20.85,11.251
,20.82,20.1,19.699,20.9,10.958
,19.74,20.05,17.9328,20.8,11.3957
,18.45,20,16.7414,20.7,11.1597
,17.49,19.9,15.4494,20.75,11.0422
,17.09,19.8,15.333,20.8,10.3395
,16.58,19.65,15.2485,21.3,10.1003
,15.57,19.5,14.6118,21.8,9.68013
,14.33,19.4,13.987,21.55,9.52717
,13.12,19.3,13.2858,21.3,9.12027
,12.98,19.15,12.8618,21.45,9.1891
,12.2,19,12.2898,21.6,8.87977
,11.57,18.85,11.7627,21.45,8.56929
,11.56,18.7,11.3776,21.3,7.52845
,10.97,18.5,11.0598,21.35,7.38627
,10.89,18.3,10.8224,21.4,6.98735
,10.55,18.2,10.8478,21.25,7.31731
,10.37,18.1,10.5146,21.1,7.12454
,10.55,17.95,10.6056,21.35,7.05532
,10.49,17.8,10.2981,21.6,6.53411
,10.46,17.7,9.96878,21.6,6.12628
,12.25,17.6,10.4757,21.6,5.74443
,13.52,17.6,11.3033,21.55,6.30091
,13.79,17.6,11.4832,21.5,6.89682
,15.14,17.6,12.214,21.35,6.33977
,16.47,17.6,12.5876,21.2,6.52436
,17.34,17.65,13.0669,20.85,6.69354
,18.98,17.7,13.3815,20.5,7.49023
,18.12,17.75,14.5941,20.65,8.06394
,18.31,17.8,14.3132,20.8,7.71167
,17.83,17.9,13.7185,20.75,7.96272
,18.49,18,13.7917,20.7,7.76745
,17.41,18,12.9088,20.35,7.42437
,16.61,18,12.4197,20,7.5614
,15.59,18,11.6093,20.25,7.36901
,15.96,18,11.8093,20.5,7.57475
,16.68,18,11.9595,20.9,7.51137
,17.35,18,12.4775,21.3,7.3501
,19.35,18,12.8363,21.25,7.41265
,19.04,18,12.584,21.2,7.27415
,16.6,18,12.1098,21.1,7.29913
,16.24,18,11.5216,21,7.34537
,17.37,18,11.1128,20.75,6.62332
,16.21,18,10.2746,20.5,7.08476
,14.39,17.95,9.73212,20.35,6.97125
,12.8,17.9,9.51857,20.2,6.68848
,12.42,17.8,9.24283,20.25,6.40016
,9.66,17.7,9.72402,20.3,7.03194
,8.87,17.6,9.58129,20.25,6.88167
,8.11,17.5,9.25296,20.2,6.85524
,6.87,17.3,8.57394,20.2,6.81316
,5.75,17.1,8.25313,20.2,6.61671
,5.32,16.85,7.92089,20.2,6.74678
